,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hamilton,1,US,1585015854,70,39.18,-84.53,45.0,6.93
1,hambantota,0,LK,1585015854,100,6.12,81.12,73.4,3.36
2,busselton,89,AU,1585015854,29,-33.65,115.33,82.0,6.04
3,hobart,20,AU,1585015801,47,-42.88,147.33,64.99,8.05
4,mataura,100,NZ,1585015854,90,-46.19,168.86,52.0,15.01
5,bosaso,0,SO,1585015854,75,11.28,49.18,82.76,13.91
6,bambous virieux,75,MU,1585015784,94,-20.34,57.76,78.8,10.29
7,lebu,95,CL,1585015854,98,-37.62,-73.65,58.1,6.4
8,vigrestad,91,NO,1585015854,75,58.57,5.7,42.01,24.16
9,kodiak,1,US,1585015593,25,57.79,-152.41,51.8,16.11
10,thompson,75,CA,1585015855,49,55.74,-97.86,26.6,2.24
11,flinders,75,AU,1585015855,64,-34.58,150.86,72.0,6.93
12,nobeoka,0,JP,1585015855,39,32.58,131.67,61.34,5.7
13,mareeba,40,AU,1585015855,66,-17.0,145.43,86.0,17.22
14,castro,31,BR,1585015844,96,-24.79,-50.01,55.58,6.6
15,vao,16,NC,1585015855,71,-22.67,167.48,76.64,17.02
16,kavieng,23,PG,1585015855,69,-2.57,150.8,84.56,6.58
17,puerto escondido,20,MX,1585015856,83,15.85,-97.07,82.4,2.75
18,shakawe,100,BW,1585015856,97,-18.37,21.85,63.14,4.81
19,yate,6,GB,1585015856,89,51.54,-2.42,41.0,10.29
20,rikitea,100,PF,1585015856,75,-23.12,-134.97,78.62,9.08
21,camacha,40,PT,1585015856,72,33.08,-16.33,60.8,17.22
22,puerto ayora,93,EC,1585015856,82,-0.74,-90.35,78.01,5.01
23,vaini,20,TO,1585015856,74,-21.2,-175.2,84.2,6.93
24,hermanus,67,ZA,1585015856,85,-34.42,19.23,60.01,1.01
25,mahebourg,75,MU,1585015857,94,-20.41,57.7,78.8,10.29
26,lavrentiya,33,RU,1585015857,89,65.58,-171.0,30.2,10.13
27,te anau,100,NZ,1585015857,80,-45.42,167.72,47.12,4.38
28,port lincoln,100,AU,1585015742,82,-34.73,135.87,60.44,7.92
29,saskylakh,0,RU,1585015857,91,71.92,114.08,-19.48,4.14
30,byron bay,75,AU,1585015857,69,-28.65,153.62,78.01,9.17
31,hilo,90,US,1585015858,78,19.73,-155.09,73.0,10.8
32,albany,90,US,1585015719,92,42.6,-73.97,33.01,6.93
33,iskateley,100,RU,1585015858,91,67.68,53.15,24.08,16.89
34,libourne,0,FR,1585015858,100,44.92,-0.25,48.2,2.24
